ID,Encoding,Activity,Testing,Delay,PC,
105,0,1,0,0,0.125,
106,0,1,0,0,0.25,
107,0,1,0,0,0.125,
108,0,1,0,0,0,
109,0,1,0,0,0,
110,0,1,0,0,0,
112,0,1,0,0,0.375,
113,0,1,0,0,0,
115,0,1,0,0,0,
118,0,1,0,0,0.125,
119,0,1,0,0,0.125,
124,0,1,0,0,0,
200,0,1,0,0,0.25,
201,0,1,0,0,0,
202,0,1,0,0,0,
203,0,1,0,0,0.125,
204,0,1,0,0,0,
205,0,1,0,0,0.125,
206,0,1,0,0,0,
105,0,1,0,1,0.25,
106,0,1,0,1,0,
107,0,1,0,1,0,
108,0,1,0,1,0,
109,0,1,0,1,0,
110,0,1,0,1,0.375,
112,0,1,0,1,0.125,
113,0,1,0,1,0,
115,0,1,0,1,0,
118,0,1,0,1,0,
119,0,1,0,1,0,
124,0,1,0,1,0,
200,0,1,0,1,0,
201,0,1,0,1,0,
202,0,1,0,1,0,
203,0,1,0,1,0,
204,0,1,0,1,0,
205,0,1,0,1,0,
206,0,1,0,1,0,
105,0,0,0,0,0.5,
106,0,0,0,0,0.375,
107,0,0,0,0,0,
108,0,0,0,0,0,
109,0,0,0,0,0,
110,0,0,0,0,0,
112,0,0,0,0,0.25,
113,0,0,0,0,0.25,
115,0,0,0,0,0,
118,0,0,0,0,0,
119,0,0,0,0,0.125,
124,0,0,0,0,0,
200,0,0,0,0,0.25,
201,0,0,0,0,0,
202,0,0,0,0,0,
203,0,0,0,0,0,
204,0,0,0,0,0.25,
205,0,0,0,0,0,
206,0,0,0,0,0.375,
105,0,0,0,1,0,
106,0,0,0,1,0,
107,0,0,0,1,0,
108,0,0,0,1,0,
109,0,0,0,1,0,
110,0,0,0,1,0,
112,0,0,0,1,0,
113,0,0,0,1,0,
115,0,0,0,1,0,
118,0,0,0,1,0,
119,0,0,0,1,0,
124,0,0,0,1,0,
200,0,0,0,1,0,
201,0,0,0,1,0,
202,0,0,0,1,0,
203,0,0,0,1,0,
204,0,0,0,1,0,
205,0,0,0,1,0,
206,0,0,0,1,0,