"Antwort ID";"Versuchsperson:";"Biologisches Geschlecht";"Alter";"Händigkeit";"Höchster Bildungsabschluss"
"36";"101";"Männlich";"23";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"37";"102";"Weiblich";"33";"<span style=""font-size:16px;"">Beidhändig</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"38";"101";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"39";"101";"Männlich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"40";"";"";"";"";""
"41";"101";"Weiblich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"42";"101";"";"";"";""
"43";"";"";"";"";""
"44";"102";"Männlich";"22";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"45";"102";"Weiblich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"46";"";"";"";"";""
"47";"103";"Männlich";"31";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"48";"104";"Männlich";"29";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"49";"";"";"";"";""
"50";"";"";"";"";""
"51";"105";"Weiblich";"28";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"52";"106";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"53";"107";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"54";"108";"Weiblich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"55";"";"";"";"";""
"56";"109";"Weiblich";"24";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"57";"";"";"";"";""
"58";"";"";"";"";""
"59";"110";"Männlich";"16";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"60";"";"";"";"";""
"61";"";"";"";"";""
"62";"105";"";"";"";""
"63";"";"";"";"";""
"64";"";"";"";"";""
"65";"";"";"";"";""
"66";"112";"Weiblich";"26";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"67";"";"";"";"";""
"68";"";"";"";"";""
"69";"113";"Weiblich";"18";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"70";"";"";"";"";""
"71";"";"";"";"";""
"72";"";"";"";"";""
"73";"";"";"";"";""
"74";"113";"";"";"";""
"75";"";"";"";"";""
"76";"";"";"";"";""
"77";"200";"Männlich";"30";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"78";"114";"Weiblich";"17";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"79";"";"";"";"";""
"80";"115";"Weiblich";"34";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"81";"119";"Weiblich";"26";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"82";"";"";"";"";""
"83";"203";"Weiblich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"84";"75";"";"";"";""
"85";"";"";"";"";""
"86";"";"";"";"";""
"87";"202";"Männlich";"28";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"88";"204";"Weiblich";"36";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"89";"";"";"";"";""
"90";"201";"Weiblich";"30";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"91";"";"";"";"";""
"92";"";"";"";"";""
"93";"";"";"";"";""
"94";"";"";"";"";""
"95";"206";"Weiblich";"19";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"96";"";"";"";"";""
"97";"205";"Weiblich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"98";"118";"Weiblich";"28";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"99";"124";"Weiblich";"31";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"100";"";"";"";"";""
"101";"117";"Weiblich";"52";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"102";"";"";"";"";""
"103";"";"";"";"";""
"104";"209";"Weiblich";"19";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"105";"";"";"";"";""
"106";"";"";"";"";""
"107";"";"";"";"";""
"108";"208";"Weiblich";"58";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"109";"116";"Weiblich";"39";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"110";"";"";"";"";""
"111";"122";"Weiblich";"33";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Master)</span>"
"112";"";"";"";"";""
"113";"";"";"";"";""
"114";"207";"Weiblich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"115";"211";"Männlich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"116";"210";"Weiblich";"19";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"117";"";"";"";"";""
"118";"";"";"";"";""
"119";"123";"Weiblich";"25";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"120";"";"";"";"";""
"121";"";"";"";"";""
"122";"";"";"";"";""
"123";"212";"Weiblich";"19";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"124";"";"";"";"";""
"125";"";"";"";"";""
"126";"213";"Weiblich";"18";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"127";"";"";"";"";""
"128";"170";"Weiblich";"39";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"129";"121";"Männlich";"42";"<span style=""font-size:16px;"">Beidhändig</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"130";"";"";"";"";""
"131";"";"";"";"";""
"132";"";"";"";"";""
"133";"";"";"";"";""
"134";"215";"Weiblich";"18";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"135";"";"";"";"";""
"136";"120";"Weiblich";"28";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"137";"";"";"";"";""
"138";"";"";"";"";""
"139";"";"";"";"";""
"140";"";"";"";"";""
"141";"";"";"";"";""
"142";"214";"Männlich";"31";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Sonstiges</span>"
"143";"127";"Weiblich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"144";"";"";"";"";""
"145";"";"";"";"";""
"146";"217";"Weiblich";"17";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"147";"";"";"";"";""
"148";"123";"Weiblich";"30";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"149";"";"";"";"";""
"150";"";"";"";"";""
"151";"";"";"";"";""
"152";"";"";"";"";""
"153";"219";"Weiblich";"18";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"154";"";"";"";"";""
"155";"172";"Männlich";"19";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"156";"";"";"";"";""
"157";"";"";"";"";""
"158";"218";"Weiblich";"19";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"159";"";"";"";"";""
"160";"171";"Männlich";"42";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Master)</span>"
"161";"";"";"";"";""
"162";"";"";"";"";""
"163";"216";"Weiblich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"164";"126";"Männlich";"22";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"165";"";"";"";"";""
"166";"";"";"";"";""
"167";"220";"Weiblich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"168";"";"";"";"";""
"169";"251";"";"";"";""
"170";"";"";"";"";""
"171";"34";"Weiblich";"16";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"172";"";"";"";"";""
"173";"174";"Weiblich";"26";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"174";"";"";"";"";""
"175";"175";"Weiblich";"22";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"176";"177";"Männlich";"21";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"177";"129";"Weiblich";"45";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"178";"";"";"";"";""
"179";"";"";"";"";""
"180";"";"";"";"";""
"181";"222";"Weiblich";"18";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"182";"";"";"";"";""
"183";"";"";"";"";""
"184";"221";"Weiblich";"17";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"185";"";"";"";"";""
"186";"173";"Weiblich";"18";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"187";"";"";"";"";""
"188";"176";"Männlich";"20";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"189";"";"";"";"";""
"190";"128";"Männlich";"18";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"191";"130";"Weiblich";"43";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"192";"";"";"";"";""
"193";"";"";"";"";""
"194";"179";"Männlich";"21";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"195";"145";"Weiblich";"35";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"196";"";"";"";"";""
"197";"178";"Männlich";"21";"<span style=""font-size:16px;"">Beidhändig</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"198";"134";"";"";"";""
"199";"";"";"";"";""
"200";"180";"Weiblich";"20";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"201";"134";"";"";"";""
"202";"";"";"";"";""
"203";"146";"Weiblich";"45";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"204";"";"";"";"";""
"205";"181";"Weiblich";"21";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"206";"";"";"";"";""
"207";"131";"Männlich";"51";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"208";"";"";"";"";""
"209";"183";"Männlich";"26";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"210";"184";"Weiblich";"40";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"211";"";"";"";"";""
"212";"186";"Weiblich";"25";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"213";"182";"Weiblich";"43";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"214";"147";"Männlich";"48";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"215";"185";"Männlich";"37";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Sonstiges</span>"
"216";"";"";"";"";""
"217";"";"";"";"";""
"218";"134";"Weiblich";"36";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"219";"";"";"";"";""
"220";"";"";"";"";""
"221";"135";"Männlich";"23";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"222";"188";"Männlich";"23";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"223";"189";"Männlich";"22";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"224";"";"";"";"";""
"225";"";"";"";"";""
"226";"";"";"";"";""
"227";"190";"Weiblich";"21";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"228";"148";"Männlich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"229";"";"";"";"";""
"230";"187";"Weiblich";"28";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"231";"";"";"";"";""
"232";"";"";"";"";""
"233";"";"";"";"";""
"234";"137";"Weiblich";"31";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"235";"";"";"";"";""
"236";"150";"Männlich";"19";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"237";"191";"Männlich";"23";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"238";"";"";"";"";""
"239";"151";"Männlich";"35";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Sonstiges</span>"
"240";"";"";"";"";""
"241";"";"";"";"";""
"242";"";"";"";"";""
"243";"136";"Männlich";"26";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"244";"";"";"";"";""
"245";"";"";"";"";""
"246";"";"";"";"";""
"247";"132";"Weiblich";"38";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"248";"";"";"";"";""
"249";"149";"Männlich";"30";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"250";"";"";"";"";""
"251";"";"";"";"";""
"252";"";"";"";"";""
"253";"";"";"";"";""
"254";"";"";"";"";""
"255";"";"";"";"";""
"256";"138";"Weiblich";"35";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Master)</span>"
"257";"";"";"";"";""
"258";"";"";"";"";""
"259";"";"";"";"";""
"260";"152";"Männlich";"37";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"261";"";"";"";"";""
"262";"";"";"";"";""
"263";"";"";"";"";""
"264";"";"";"";"";""
"265";"";"";"";"";""
"266";"";"";"";"";""
"267";"140";"Männlich";"38";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"268";"";"";"";"";""
"269";"";"";"";"";""
"270";"";"";"";"";""
"271";"";"";"";"";""
"272";"";"";"";"";""
"273";"153";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"274";"";"";"";"";""
"275";"";"";"";"";""
"276";"139";"Weiblich";"19";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"277";"";"";"";"";""
"278";"";"";"";"";""
"279";"143";"Weiblich";"31";"<span style=""font-size:16px;"">Beidhändig</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"280";"";"";"";"";""
"281";"";"";"";"";""
"282";"";"";"";"";""
"283";"";"";"";"";""
"284";"155";"Männlich";"28";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"285";"";"";"";"";""
"286";"154";"Männlich";"40";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"287";"";"";"";"";""
"288";"";"";"";"";""
"289";"142";"Weiblich";"38";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Master)</span>"
"290";"";"";"";"";""
"291";"156";"Männlich";"31";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"292";"141";"Weiblich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"293";"144";"Männlich";"23";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"294";"";"";"";"";""
"295";"157";"Männlich";"26";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"296";"";"";"";"";""
"297";"158";"Männlich";"36";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"298";"223";"Weiblich";"35";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"299";"225";"Männlich";"34";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss mit BM</span>"
"300";"226";"Weiblich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"

